team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,73.5,4.4,255,23,retractable,0,cross
ATL,60.6,3.5,335,42,open,135,in
BAL,55.5,2.0,87,60,open,30,cross
BOS,48.5,12.7,204,69,open,45,in
CHC,48.0,3.6,356,86,open,45,cross
CHW,39.4,5.6,50,91,open,135,cross
CIN,56.6,9.4,348,80,open,100,cross
CLE,41.2,6.2,8,91,open,0,out
COL,52.5,12.3,182,56,open,0,in
DET,45.0,3.9,294,92,open,135,in
HOU,66.4,4.1,81,94,retractable,330,cross
KC,49.9,6.9,90,94,open,45,out
LAA,60.0,4.1,276,91,open,45,cross
LAD,57.6,3.6,248,88,open,30,in
MIA,67.1,5.2,27,82,retractable,100,cross
MIL,35.3,3.5,165,89,retractable,135,out
MIN,40.8,2.9,185,72,open,90,cross
NYM,47.6,9.9,170,77,open,5,in
NYY,50.1,5.3,160,71,open,90,cross
OAK,56.0,4.6,137,93,open,45,cross
PHI,53.6,6.0,188,66,open,5,in
PIT,68.4,14.3,261,53,open,100,in
SD,61.2,4.0,183,90,open,0,in
SF,54.3,7.7,240,89,open,90,in
SEA,51.2,10.9,238,79,retractable,45,in
STL,55.5,4.9,51,75,open,45,out
TB,69.5,13.4,72,70,dome,45,out
TEX,67.4,8.1,174,78,retractable,135,out
TOR,37.4,5.4,304,87,retractable,0,cross
WSH,61.9,9.0,186,37,open,40,in
