team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type
ARI,,,,,retractable
ATL,50.9,6.7,360.0,54.0,open
BAL,48.8,2.6,329.0,80.0,open
BOS,36.2,4.3,261.0,56.0,open
CHC,36.6,17.2,26.0,85.0,open
CHW,32.1,17.5,19.0,74.0,open
CIN,47.9,6.6,315.0,42.0,open
CLE,38.3,0.9,256.0,92.0,open
COL,44.9,5.9,25.0,51.0,open
DET,30.7,13.8,314.0,68.0,open
HOU,54.7,5.6,61.0,69.0,retractable
KC,52.7,11.7,61.0,43.0,open
LAA,57.8,2.5,135.0,96.0,open
LAD,58.3,3.6,112.0,85.0,open
MIA,73.9,3.8,90.0,86.0,retractable
MIL,31.0,9.5,8.0,67.0,retractable
MIN,28.0,8.2,17.0,48.0,open
NYM,,,,,open
NYY,,,,,open
OAK,,,,,open
PHI,47.2,4.5,276.0,70.0,open
PIT,42.7,5.9,281.0,78.0,open
SD,60.2,2.8,288.0,83.0,open
SF,51.7,10.8,288.0,97.0,open
SEA,47.5,6.0,77.0,76.0,retractable
STL,50.7,7.5,350.0,44.0,open
TB,75.5,6.0,347.0,61.0,dome
TEX,58.3,5.1,113.0,45.0,retractable
TOR,35.4,3.7,115.0,92.0,retractable
WSH,53.3,5.0,122.0,48.0,open
