team,temp_f,wind_speed_mph,wind_direction_deg,humidity,roof_type,cf_direction_deg,wind_effect
ARI,,,,,retractable,0,unknown
ATL,50.9,6.7,360.0,54.0,open,135,in
BAL,48.8,2.6,329.0,80.0,open,30,cross
BOS,36.2,4.3,261.0,56.0,open,45,in
CHC,36.6,17.2,26.0,85.0,open,45,out
CHW,32.1,17.5,19.0,74.0,open,135,cross
CIN,47.9,6.6,315.0,42.0,open,100,in
CLE,38.3,0.9,256.0,92.0,open,0,cross
COL,44.9,5.9,25.0,51.0,open,0,out
DET,30.7,13.8,314.0,68.0,open,135,in
HOU,54.7,5.6,61.0,69.0,retractable,330,cross
KC,52.7,11.7,61.0,43.0,open,45,out
LAA,57.8,2.5,135.0,96.0,open,45,cross
LAD,58.3,3.6,112.0,85.0,open,30,cross
MIA,73.9,3.8,90.0,86.0,retractable,100,out
MIL,31.0,9.5,8.0,67.0,retractable,135,cross
MIN,28.0,8.2,17.0,48.0,open,90,cross
NYM,,,,,open,5,unknown
NYY,,,,,open,90,unknown
OAK,,,,,open,45,unknown
PHI,47.2,4.5,276.0,70.0,open,5,cross
PIT,42.7,5.9,281.0,78.0,open,100,in
SD,60.2,2.8,288.0,83.0,open,0,cross
SF,51.7,10.8,288.0,97.0,open,90,in
SEA,47.5,6.0,77.0,76.0,retractable,45,out
STL,50.7,7.5,350.0,44.0,open,45,cross
TB,75.5,6.0,347.0,61.0,dome,45,cross
TEX,58.3,5.1,113.0,45.0,retractable,135,out
TOR,35.4,3.7,115.0,92.0,retractable,0,cross
WSH,53.3,5.0,122.0,48.0,open,40,cross
